id,base_month_income,base_car_km,base_loan_rate,base_loan_monthrepay,base_car_years,base_ages,br_scoreafautofin,ir_id_x_cell_cnt,ir_m12_id_x_home_addr_cnt,ir_allmatch_days,als_m12_id_tot_mons,als_m12_id_max_monnum,als_m12_id_nbank_oth_orgnum,als_m12_id_nbank_allnum,als_lst_cell_bank_inteday,als_m12_id_nbank_tot_mons,als_m12_id_nbank_max_monnum,als_m12_id_rel_allnum,als_m12_id_nbank_cons_orgnum,als_m12_cell_bank_tra_allnum,als_m12_cell_nbank_cf_allnum,als_m12_id_nbank_finlea_allnum,als_m12_cell_af_allnum,als_m12_cell_pdl_allnum,als_m6_id_nbank_allnum,als_m6_id_max_monnum,als_m6_id_nbank_oth_orgnum,als_m6_id_nbank_tot_mons,als_m6_id_nbank_max_monnum,als_m3_id_nbank_allnum,als_m3_id_max_monnum,als_m3_id_nbank_oth_orgnum,als_m3_id_nbank_tot_mons,als_m3_id_nbank_max_monnum,als_d15_id_nbank_oth_allnum,fico_result,fico_app_cnt,base_is_guarantee,base_nation,base_is_local,base_has_rebuy,base_sex,zx_result,zx_is_baihu,zx_is_current_ovd,zx_is_credictcard_current_ovd,zx_is_lian3_lei6,loan_is_black,base_has_driverlicensce,zx_account_status,fraud_flag
7BRthQB/ED7lJrjBZAbgor0ZvuRySPubS9lBbijN3Rw=,3,2,2,1,3,3,4,2,3,6,2,2,-1,2,5,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
+BbKEsEA1khqbItxEO8difqfJcwdKE7DwmS2m4AljY0=,4,4,2,5,5,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
sCKilOsZDXRNuVszlcz9hcFDSsuqhgkbMbDnBodkcqw=,4,6,3,5,5,2,3,2,2,4,4,5,4,5,3,4,5,-1,3,-1,3,-1,-1,3,2,2,-1,2,2,2,2,-1,2,2,-1,5,2,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,2,-1,0
+CH2CGPoqCdr991cnVfJwtADViEuOMpsJSn20Gflx1M=,3,6,3,5,5,2,2,3,2,5,3,2,-1,-1,-1,-1,-1,3,-1,3,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,3,-1,0
+Do2y+lM+R2x65fpDMOqd5mjzZA95XvvmZ/hsQYKslw=,1,4,2,1,4,1,6,2,3,2,2,5,3,4,2,2,5,2,-1,-1,3,2,3,2,5,5,3,2,5,5,5,3,2,5,3,4,2,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,0
bzfrC11rXC1bzGtpVvwPq6gMQ8rvQsYNFWbHSzpJ+7I=,4,2,3,3,2,3,4,2,2,2,6,4,3,7,2,6,4,-1,3,-1,4,-1,2,4,7,4,2,4,4,6,4,2,4,4,2,4,2,-1,-1,1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,0
YBxXuKnQdkTLNKJkZi0vXZmjzZA95XvvmZ/hsQYKslw=,2,1,3,4,1,3,-1,2,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
+HARzJ67k4Esz0U6TsjY3TAmWb+JV7Dj/5BCMaExQQc=,2,4,3,2,5,3,4,2,2,5,2,2,-1,2,4,2,2,-1,2,-1,2,-1,-1,2,2,2,-1,2,2,-1,-1,-1,-1,-1,-1,5,2,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
aeEFWotliJHJ5UMCn/OTT7CDC0U18L/PGRAM+YpMFWU=,4,1,2,4,2,2,3,2,2,3,2,2,-1,2,3,2,2,2,-1,-1,-1,-1,-1,-1,2,2,-1,2,2,2,2,-1,2,2,-1,6,2,-1,1,1,-1,1,-1,-1,1,-1,1,-1,2,-1,0
+HG5OEelGw/PUizYytpXHAu1HRIXtzk8ou//JYqPKAw=,4,1,2,2,3,2,6,2,2,2,2,3,-1,3,2,2,3,-1,2,-1,2,-1,-1,3,3,3,-1,2,3,3,3,-1,2,3,-1,4,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
b819s/lN1acCafFUr6U/S70ZvuRySPubS9lBbijN3Rw=,3,2,2,4,2,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
+i38I3j2QjXfTPDg7ZBbIHfsV4irW0L2ZNtxBFAEeYc=,2,4,2,1,5,4,4,2,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
0KZqjiw9dVJgoNt7/hJuEdsR2wFaYcSvAv1UmKINXiI=,3,2,1,3,2,1,6,3,2,4,6,4,-1,7,3,6,4,4,2,-1,4,-1,-1,-1,7,3,-1,4,3,5,3,-1,3,3,-1,8,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
T0AlbhobkMGDdL20z+LGZL89dQ02rHDgWUf88rQzGOc=,1,6,3,5,5,4,3,2,2,6,2,2,-1,-1,-1,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,1,1,-1,1,-1,-1,-1,-1,-1,3,-1,0
+L2C2L4brXrS0xXb6Q8sqVgS75tgjSKIjbYZT/Co3UA=,1,5,3,3,5,5,5,2,3,3,3,2,-1,-1,-1,-1,-1,3,-1,3,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,7,2,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,0
+ON1mIvSdnd7Q3NJ12MEZ9sR2wFaYcSvAv1UmKINXiI=,2,3,2,1,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,-1,-1,2,-1,0
Mp1iuZ5276XG0Quw0b7XWE23HtLFiEB3343r51BGiks=,2,4,1,1,4,3,5,4,2,3,4,3,-1,-1,-1,-1,-1,4,-1,4,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,8,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
+OZf7x6o8eqDSrewTPtjjFZwq+1jwWKyCvPgOSBWmIU=,2,3,1,2,4,2,3,2,2,5,2,4,3,4,4,2,4,-1,4,-1,2,-1,-1,-1,4,4,3,2,4,-1,-1,-1,-1,-1,-1,5,2,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,0
d8cC0RDRO8CTY/bBiLjUscFDSsuqhgkbMbDnBodkcqw=,5,4,2,5,5,1,3,2,2,6,4,2,-1,4,4,4,2,-1,-1,-1,4,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
+P3prc8BiB6+5tPp+/YE9r9XfEhal47N73MSOMP881M=,3,5,1,5,5,5,-1,2,2,2,2,2,-1,2,2,2,2,-1,-1,-1,2,2,2,-1,2,2,-1,2,2,2,2,-1,2,2,-1,7,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
l3nKPT2nIfUWBgr6nypXWFMnPbuguH/vGszadhblZIo=,4,4,1,4,4,1,3,2,3,4,4,4,-1,5,3,4,4,2,3,-1,4,2,2,3,5,4,-1,3,4,4,4,-1,2,4,-1,7,2,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
+qV+/kI7b7PtwqQsa6WOG+a/PD4t5CNeKUHEuuPOqkQ=,5,2,1,5,3,2,3,2,2,3,6,5,2,6,4,6,4,4,3,4,3,-1,3,-1,3,3,-1,3,2,-1,3,-1,-1,-1,-1,5,2,1,1,1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,0
ogNCoYvbFYW+nQM8zhMCWWwsIM3c2fmZAJVU3Il7hGU=,2,1,2,3,1,1,6,3,2,2,6,4,4,6,2,6,4,2,2,2,4,-1,-1,3,7,4,4,4,4,6,4,4,4,4,3,4,2,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
+TsJXfyyQvXdzavti0zMgmoRnACCwcU+VF3VwCeV3pQ=,4,2,2,5,4,2,2,2,2,2,3,2,-1,-1,-1,-1,-1,3,-1,3,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,2,-1,-1,-1,-1,9,2,-1,1,1,-1,1,-1,-1,-1,-1,-1,-1,2,-1,0
+U9IvH3+2qak4GXeGPeK607Jxn1aTNJlAwTEwXGRaPs=,3,4,2,3,5,1,-1,3,3,2,6,6,-1,7,2,6,5,4,4,4,4,2,2,3,7,6,-1,4,5,7,6,-1,4,5,-1,3,3,1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
qZVZPuAeujXqKTdCD4h1UYyr4P+N86QXSASvp0XqXyI=,3,4,3,3,5,3,4,3,2,2,5,2,-1,3,2,3,2,3,2,2,3,-1,-1,3,2,2,-1,2,2,2,2,-1,2,2,-1,3,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
sUnkhfjCM8iNJyaAocAOQBge5xUo8VAPBvSFmbRHyA4=,2,4,1,4,4,3,4,2,2,2,3,2,-1,3,2,3,2,-1,-1,-1,3,3,3,-1,3,2,-1,3,2,2,2,-1,2,2,-1,5,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
+w4Q0/qujC13wh3jpgaLmL0ZvuRySPubS9lBbijN3Rw=,2,4,1,1,5,2,4,2,2,6,2,3,-1,2,5,2,2,2,-1,2,2,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,2,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
RronOfbkd6qn8kgjzW6nrIKk+RgpxZ5CquL6pjPLrHo=,4,4,1,4,5,2,5,2,2,2,6,3,-1,4,2,4,2,4,2,4,4,-1,-1,2,4,3,-1,4,2,3,3,-1,3,2,-1,5,2,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,0
b4FORQtU5eTWg7Povma9XDnnAchM7qkPuLs9NCJKT1I=,2,1,2,1,5,2,5,2,2,2,5,5,3,5,2,4,5,4,4,4,4,-1,-1,2,6,5,3,3,5,6,5,3,3,5,-1,4,2,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,0
UKpJb7n8RJKEyMctTM3WEea/PD4t5CNeKUHEuuPOqkQ=,3,2,2,4,3,2,5,2,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,2,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,0
ioLz1znctUf3vv+nEpylgT21QEH64543A9U/2/b9x6A=,5,2,2,1,3,2,3,3,2,6,2,2,-1,2,5,2,2,-1,-1,-1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,1,1,1,1,1,1,-1,-1,-1,-1,-1,2,-1,0
+x2GzHWy4Kg3B0gYTmDeSIKk+RgpxZ5CquL6pjPLrHo=,4,4,1,4,5,3,5,2,3,2,3,2,-1,2,2,2,2,2,-1,2,2,-1,-1,2,2,2,-1,2,2,2,2,-1,2,2,-1,5,2,1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,0
j3gwOqxHs5vQw1jIFOFbBpmjzZA95XvvmZ/hsQYKslw=,1,2,2,2,3,4,4,2,2,5,2,2,-1,2,4,2,2,-1,2,-1,2,-1,-1,-1,2,2,-1,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
LIXtHV02dS6CGpaiKDTroW/Rh47ATNWAD/EcAZrSs2c=,4,4,3,5,4,3,6,3,3,3,3,3,2,4,3,3,3,-1,2,-1,3,-1,-1,3,4,3,2,3,3,2,2,-1,2,2,-1,4,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
tQ/bxj2gh7eJ2AIbZ+ouNcFDSsuqhgkbMbDnBodkcqw=,3,4,2,3,4,1,4,2,2,6,2,4,3,3,5,2,3,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,2,-1,-1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
BTu7senNd84abGIgzDEQgfvnM28JE2PLStMHDGmnT+0=,2,2,3,2,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,-1,2,-1,0
/5SM1XtWcOcWfFCmwPAwaD21QEH64543A9U/2/b9x6A=,3,4,3,2,5,3,4,2,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
QNPdaBRVl+8bHbEZM/JAmjAmWb+JV7Dj/5BCMaExQQc=,2,4,3,4,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,-1,0
/bJkUr9LdSCXf3SZGjA6Zz21QEH64543A9U/2/b9x6A=,2,2,1,5,2,1,6,3,2,3,6,4,3,7,3,6,4,-1,3,-1,4,-1,-1,4,7,4,3,4,4,6,4,2,4,4,-1,4,2,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,0
sv5ttY15pEuIPvTOAY15p4rVCVtH9suuBec3AuyP6TE=,4,4,3,2,5,1,6,3,2,2,6,3,2,6,2,6,3,4,3,3,4,-1,-1,3,5,3,2,4,3,4,3,2,3,3,-1,5,2,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
jWb3L4uqcC//hyOeAZzF8RZs7ia+n0MvFCip34BzLTE=,1,1,2,2,1,3,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,-1,1,1,-1,1,1,1,-1,-1,-1,-1,2,-1,0
KFH4/3sU/GDvElLypcYM20joDqorpXP3mvfaTZZFPsk=,2,1,2,4,1,1,6,3,2,3,4,4,-1,4,3,4,2,4,-1,4,2,-1,-1,-1,2,4,-1,2,2,2,4,-1,2,2,-1,4,2,1,1,1,-1,1,1,1,-1,-1,-1,-1,2,-1,0
0Wun0vUpbHwk1YnRY0nQyG/Rh47ATNWAD/EcAZrSs2c=,3,2,2,3,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
bjE/ZupXiL86YspFSWi0RpmjzZA95XvvmZ/hsQYKslw=,2,2,3,3,2,4,5,2,3,6,5,3,2,5,2,5,3,4,3,2,2,-1,-1,-1,3,2,2,3,2,2,2,2,2,2,2,4,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
/GsR5jbvFSl7SgEyfEEOf/coIy+fE4v9l9vuyqq4Ajc=,2,2,3,2,4,2,6,3,4,2,6,6,5,7,2,6,6,4,4,2,4,-1,-1,4,7,6,4,4,6,7,6,4,4,6,4,3,2,1,1,1,1,-1,1,-1,-1,-1,-1,-1,2,-1,0
26UgJ0cKHVOAoq1/Adb2n07Jxn1aTNJlAwTEwXGRaPs=,2,4,1,3,5,2,6,4,4,5,6,3,-1,5,4,5,3,2,3,-1,4,-1,-1,2,4,3,-1,3,3,-1,2,-1,-1,-1,-1,7,2,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,0
dZLM5V1K+eGTEr1j5ouE2xCnXKw9EcRSvcdC1vMV9+Y=,2,4,2,4,5,1,5,4,2,2,6,3,-1,6,2,6,3,4,-1,-1,4,-1,-1,-1,6,3,-1,4,3,3,3,-1,2,3,-1,8,2,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,0
mwOiwUUHvpRBSumffiDjVrCDC0U18L/PGRAM+YpMFWU=,3,3,2,2,4,4,5,2,2,-1,2,2,-1,2,4,2,2,-1,2,-1,-1,-1,-1,-1,2,2,-1,2,2,-1,-1,-1,-1,-1,-1,4,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
/j1c2AFmPtczow3RH9pWYX5Nn1EJ6amBVKpc2IIDtNQ=,2,2,3,2,4,2,2,2,3,6,2,2,-1,-1,-1,-1,-1,2,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
NsNG2KXIzNYZsRh7sAJemNY5RXqEL9zctYILHU55/es=,1,5,1,1,4,2,-1,2,2,-1,2,2,-1,2,4,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,0
/oaDVQ5LOXvXGm5xZrph1hCnXKw9EcRSvcdC1vMV9+Y=,1,2,3,1,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,2,-1,0
Wj5xgXO2oTkumIM1yn8sHOa/PD4t5CNeKUHEuuPOqkQ=,6,4,3,4,4,2,3,2,2,6,2,3,3,3,4,2,3,-1,-1,-1,-1,-1,-1,-1,3,3,3,2,3,-1,-1,-1,-1,-1,-1,5,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,2,-1,0
/r7pBpZc6xhhGrTMkXhkg0wqsfNInhL9YHESjgEm0DI=,1,3,2,2,5,2,6,3,2,3,6,5,2,5,3,5,4,4,4,2,3,-1,-1,2,5,5,2,3,4,5,5,2,3,4,-1,8,2,-1,1,-1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
eMbsUk/aYxUruOGQbsggbL0ZvuRySPubS9lBbijN3Rw=,3,4,2,5,5,1,-1,2,3,3,2,4,4,4,2,2,4,-1,-1,-1,-1,-1,2,-1,4,4,4,2,4,4,4,4,2,4,2,2,3,-1,1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,0
/sAucrbtbWnjPiprm22YVNsR2wFaYcSvAv1UmKINXiI=,1,2,2,2,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
frSzUDkIbiGis28oJZ5Gw1LMPbHuKJxDQQr4L2GIklI=,3,2,2,5,1,2,-1,2,2,6,2,3,2,3,4,2,3,-1,3,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2,1,1,-1,1,-1,1,-1,-1,-1,-1,-1,1,-1,0
WsOrKpZJZ/9JAUQv2og5ko8QFBJYTvvJPr9aRl8VZ2w=,2,6,2,5,5,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,-1,-1,1,1,1,1,1,-1,-1,-1,-1,2,-1,0
WpzwCXZnA1/Ds6fb5uJL9HfsV4irW0L2ZNtxBFAEeYc=,3,4,2,4,5,3,-1,3,2,3,5,5,-1,5,3,5,4,-1,3,2,4,-1,-1,3,5,5,-1,3,4,4,5,-1,2,4,-1,9,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
ztz5H3lhwABE86Vy+tazqea/PD4t5CNeKUHEuuPOqkQ=,1,2,2,5,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,-1,1,1,-1,-1,1,1,-1,-1,-1,-1,2,-1,0
xmGKhwy9V/btJJQdKlJ6azAmWb+JV7Dj/5BCMaExQQc=,3,2,1,4,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,2,-1,0
/tZA6ZVUy9KPI6gBOc7LDRCnXKw9EcRSvcdC1vMV9+Y=,1,4,1,5,4,1,6,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,2,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,1,-1,0
fvxsdfk7IYVQcN0HNliUDfn9LpUeHz10ytfCjbyFfZA=,2,3,1,4,5,3,4,2,2,2,6,4,2,6,2,6,4,4,3,3,4,2,2,3,6,4,-1,4,4,5,4,-1,3,4,-1,4,2,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,2,-1,0
/WIQwSzme8ZrSPt7ALOeVb89dQ02rHDgWUf88rQzGOc=,3,4,2,2,5,3,4,2,2,5,2,3,-1,3,4,2,3,-1,2,-1,2,-1,-1,-1,3,3,-1,2,3,3,3,-1,2,3,-1,7,2,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,0
WsUP3AcO8iDm8Qclj4Dz8D21QEH64543A9U/2/b9x6A=,2,4,3,4,5,3,4,2,2,3,2,2,-1,2,3,2,2,-1,-1,-1,2,-1,-1,-1,2,2,-1,2,2,2,2,-1,2,2,-1,7,2,-1,1,1,1,1,1,-1,-1,-1,-1,-1,2,-1,0
